,date,logging_info,status
136,11-12-21 03:18:22,"Error occured while connecting to cassandra database error: (""Unable to connect to any servers"", {""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:dd2489c0-72b1-4e5a-a545-15a017f68ab6"": AuthenticationFailed(""Failed to authenticate to 514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:dd2489c0-72b1-4e5a-a545-15a017f68ab6: Error from server: code=0100 [Bad credentials] message=""We recently improved your database security. To find out more and reconnect, see https://docs.datastax.com/en/astra/docs/manage-application-tokens.html""""), ""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:016912d1-f0df-4577-9bc8-58f1f1999218"": AuthenticationFailed(""Failed to authenticate to 514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:016912d1-f0df-4577-9bc8-58f1f1999218: Error from server: code=0100 [Bad credentials] message=""We recently improved your database security. To find out more and reconnect, see https://docs.datastax.com/en/astra/docs/manage-application-tokens.html""""), ""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:7beb840f-c076-4769-bd68-01acc5725524"": AuthenticationFailed(""Failed to authenticate to 514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:7beb840f-c076-4769-bd68-01acc5725524: Error from server: code=0100 [Bad credentials] message=""We recently improved your database security. To find out more and reconnect, see https://docs.datastax.com/en/astra/docs/manage-application-tokens.html"""")})",ERROR
137,11-12-21 16:10:12,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
138,12-12-21 00:23:53,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
139,12-12-21 00:19:41,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
140,11-12-21 17:57:25,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
141,11-12-21 15:50:17,Sucessfully remove the file credentials_handling.log from path Project_Logs/credentials_handling.log,INFO
142,12-12-21 02:41:01,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
143,28-11-21 10:23:11,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
144,11-12-21 19:27:44,Sucessfully remove the file predict_images.log from path Project_Logs/predict_images.log,INFO
145,12-12-21 13:48:57,Sucessfully remove the file app.log from path Project_Logs/app.log,INFO
146,28-11-21 14:08:32,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
147,11-12-21 16:10:14,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
148,28-11-21 10:18:13,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
149,12-12-21 00:08:41,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
150,28-11-21 10:20:49,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
151,12-12-21 02:47:58,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
152,12-12-21 13:51:47,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
153,11-12-21 16:10:13,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
154,12-12-21 13:48:58,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
155,11-12-21 17:57:23,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
156,12-12-21 00:23:56,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
157,28-11-21 11:23:36,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
158,11-12-21 16:14:43,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
159,12-12-21 00:15:42,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
160,11-12-21 19:27:49,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
161,12-12-21 00:30:37,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
162,28-11-21 14:07:49,Sucessfully remove the file common_utils.log from path Project_Logs/common_utils.log,INFO
163,11-12-21 16:17:02,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
164,12-12-21 13:48:59,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
165,28-11-21 14:07:44,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
166,28-11-21 14:04:27,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
167,28-11-21 14:08:31,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
168,11-12-21 17:58:46,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
169,12-12-21 13:51:43,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
170,11-12-21 17:36:38,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
171,11-12-21 19:10:36,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
172,11-12-21 12:12:48,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
173,28-11-21 14:27:50,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
174,28-11-21 10:18:12,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
175,28-11-21 14:08:08,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
176,12-12-21 02:34:55,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
